Lifetime-Counter,Deletion-Date,Total,Windows-Temp,Local-Temp,Windows-Prefetch,Windows-SoftwareDistribution,Local-AMD
1,2025-10-14,708.92,88.66,0.75,5.31,1.59,612.61
2,2025-10-17,8243.58,13.31,1450.1,2.99,6693.15,84.03
3,2025-10-18,567.01,0.15,453.83,8.73,11.39,92.91
4,2025-10-24,704.7,89.1,570.12,8.94,33.93,2.61
5,2025-10-31,2373.64,107.95,2084.34,9.23,32.57,139.55
6,2025-11-07,1114.4,91.63,440.27,8.09,55.08,519.33
7,2025-11-14,4442.22,100.31,3724.29,9.92,2.93,604.77
8,2025-11-21,6842.28,100.32,4270.21,7.43,32.59,2431.73
9,2025-11-28,4097.42,282.89,3674.63,10.28,46.59,83.03
10,2025-12-05,3742.48,211.94,3393.91,8.17,45.54,82.92
11,2025-12-12,4322.94,283.53,3280.67,10.5,58.64,689.6
12,2025-12-19,3026.81,468.02,2166.51,8.68,49.53,334.07
